"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","154","updateMovieRatingAndVerifySuccessfulResponse","Gradle suite","Thu Aug 14 20:39:30 UTC 2025","passed","Thu Aug 14 20:39:30 UTC 2025","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","Gradle test","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifySuccessfulResponse"
"","1433","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence","Gradle suite","Thu Aug 14 20:39:11 UTC 2025","passed","Thu Aug 14 20:39:12 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence"
"","119","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","Gradle suite","Thu Aug 14 20:39:31 UTC 2025","passed","Thu Aug 14 20:39:32 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse"
"","251","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence","Gradle suite","Thu Aug 14 20:39:31 UTC 2025","passed","Thu Aug 14 20:39:31 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence"
"","160","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse","Gradle suite","Thu Aug 14 20:39:31 UTC 2025","passed","Thu Aug 14 20:39:31 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse"
"","363","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence","Gradle suite","Thu Aug 14 20:39:32 UTC 2025","passed","Thu Aug 14 20:39:33 UTC 2025","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","Gradle test","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence"
"","1220","updateMovieRatingAndVerifyRatingIsUpdated","Gradle suite","Thu Aug 14 20:39:29 UTC 2025","failed","Thu Aug 14 20:39:30 UTC 2025","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","Gradle test","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifyRatingIsUpdated"
"","657","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved","Gradle suite","Thu Aug 14 20:39:14 UTC 2025","passed","Thu Aug 14 20:39:14 UTC 2025","org.themoviedb.lists.RemoveListHappyPathTests","Gradle test","org.themoviedb.lists.RemoveListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved"
"","160","addRatingToMovieAndVerifySuccessfulResponse","Gradle suite","Thu Aug 14 20:39:16 UTC 2025","passed","Thu Aug 14 20:39:16 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifySuccessfulResponse"
"","12348","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved","Gradle suite","Thu Aug 14 20:39:16 UTC 2025","broken","Thu Aug 14 20:39:29 UTC 2025","org.themoviedb.movies.RemoveRatingToMovieHappyPathTests","Gradle test","org.themoviedb.movies.RemoveRatingToMovieHappyPathTests","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved"
